"","pe_class","enjoy_pe","veggies","fruit"
"707",2,"6","1","5"
"708",2,"6","2","3"
"709",2,"6","2","3"
"710",2,"1","1","5"
"711",1,"5","2","2"
"712",2,"1","2","3"
"713",2,"1","3","6"
"714",2,"1","1","1"
"715",2,"5","2","3"
"716",2,"1","2","3"
"717",2,"5","3","3"
"718",2,"5","2","5"
"719",2,"1","2","5"
"720",2,"1","1","5"
"721",2,"1","5","5"
"722",2,"5","1","3"
"723",2,"5","4","4"
"724",2,"5","1","3"
"725",2,"5","3","5"
"726",2,"5","3","4"
"727",2,"1","2","2"
"728",2,"1","1","4"
"729",2,"6","2","4"
"730",2,"1","1","5"
"731",2,"1","2","6"
"732",2,"5","2","3"
"733",2,"","1","3"
"734",2,"5","2","3"
"735",2,"1","1","2"
"736",2,"1","2","5"
"737",2,"5","4","3"
"738",2,"5","2","4"
"739",2,"6","2","2"
"740",2,"5","1","2"
"741",2,"5","2","5"
"742",2,"6","2","3"
"743",2,"6","2","4"
"744",2,"5","2","5"
"745",2,"5","3","3"
"746",1,"5","2","7"
"747",2,"5","5","5"
"748",2,"5","1","4"
"749",2,"5","2","4"
"750",1,"5","2","5"
"751",2,"5","7","5"
"752",2,"5","1","4"
"753",2,"6","1","7"
"754",2,"5","2","2"
"755",2,"4","5","6"
"756",2,"4","7","7"
"757",1,"4","2","3"
"758",2,"5","2","4"
"759",2,"4","4","6"
"760",1,"6","4","7"
"761",2,"1","2","2"
"762",2,"1","1","5"
"763",1,"5","2","2"
"764",2,"5","4","4"
"765",1,"6","2","6"
"766",1,"6","2","2"
"767",2,"5","2","3"
"768",2,"1","2","2"
"769",1,"5","3","6"
"770",1,"6","2","4"
"771",2,"5","4","3"
"772",2,"6","2","2"
"773",2,"5","4","3"
"774",1,"4","2","5"
"775",2,"1","1","6"
"776",2,"2","2","4"
"777",2,"2","1","2"
"778",1,"4","4","4"
"779",2,"2","3","6"
"780",2,"6","2","3"
"781",2,"5","1","1"
"782",2,"1","1","2"
"783",2,"1","2","4"
"784",1,"2","2","2"
"785",1,"5","1","2"
"786",1,"6","1","4"
"787",2,"5","1","2"
"788",2,"5","2","5"
"789",2,"4","1","3"
"790",2,"1","2","2"
"791",2,"1","2","2"
"792",1,"5","2","4"
"793",2,"4","2","3"
"794",2,"4","2","2"
"795",2,"1","1","4"
"796",2,"3","1","2"
"797",2,"1","3","3"
"798",2,"5","1","3"
"799",1,"5","3","7"
"800",2,"1","1","2"
"801",1,"5","1","2"
"802",1,"6","1","1"
"803",2,"6","2","7"
"804",1,"5","1","2"
"805",2,"5","3","3"
"806",1,"4","2","1"
"807",1,"5","1","2"
"808",1,"5","3","3"
"809",1,"5","1","2"
"810",1,"2","1","2"
"811",1,"2","1","3"
"812",0,"","",""
"813",1,"5","6","2"
"814",1,"4","2","2"
"815",1,"2","2","3"
"816",1,"5","2","3"
"817",1,"4","1","4"
"818",1,"2","1","4"
"819",1,"5","2","3"
"820",1,"5","3","3"
"821",2,"4","1","3"
"822",1,"1","2","2"
"823",1,"5","4","6"
"824",1,"2","3","4"
"825",1,"5","2","5"
"826",1,"3","2","2"
"827",1,"5","1","6"
"828",1,"4","3","5"
"829",1,"5","1","2"
"830",1,"6","2","5"
"831",2,"5","1","2"
"832",1,"5","5","5"
"833",1,"6","2","2"
"834",2,"4","5","3"
"835",1,"4","1","4"
"836",1,"5","2","2"
"837",1,"5","2","5"
"838",1,"6","4","4"
"839",1,"6","2","6"
"840",1,"5","2","4"
"841",2,"4","4","6"
"842",2,"4","4","5"
"843",2,"1","1","5"
"844",2,"1","7","7"
"845",2,"2","2","7"
"846",1,"4","2","2"
"847",2,"5","1","2"
"848",1,"4","1","6"
"849",2,"6","3","5"
"850",2,"6","4","6"
"851",2,"1","1","5"
"852",2,"1","2","4"
"853",2,"1","1","3"
"854",1,"6","2","3"
"855",2,"5","2","3"
"856",2,"5","2","2"
"857",2,"5","1","3"
"858",2,"5","3","3"
"859",2,"6","4","7"
"860",2,"6","1","7"
"861",2,"1","",""
"862",2,"6","4","6"
"863",2,"1","1","4"
"864",2,"4","1","5"
"865",2,"5","1","3"
"866",2,"5","1","1"
"867",2,"1","2","3"
"868",2,"5","1","2"
"869",2,"5","2","4"
"870",2,"4","2","6"
"871",2,"5","2","2"
"872",2,"5","1","3"
"873",2,"1","2","3"
"874",2,"5","1","3"
"875",2,"1","2","4"
"876",2,"1","2","3"
"877",2,"3","2","2"
"878",1,"6","6","6"
"879",2,"1","1","2"
"880",2,"2","2","5"
"881",2,"6","3","2"
"882",2,"4","1","2"
"883",2,"1","2","7"
"884",2,"1","1","1"
"885",2,"1","2","3"
"886",2,"5","1","2"
"887",2,"1","2","4"
"888",2,"5","2","1"
"889",2,"5","2","3"
"890",1,"1","1","5"
"891",2,"1","","1"
"892",1,"6","1","2"
"893",1,"5","1","2"
"894",2,"1","1","2"
"895",2,"1","1","2"
"896",1,"6","2","1"
"897",2,"6","1","4"
"898",1,"3","1","7"
"899",2,"5","2","1"
"900",2,"5","2","2"
"901",2,"4","2","7"
"902",2,"5","1","2"
"903",2,"4","1","3"
"904",2,"2","1","7"
"905",2,"5","4","5"
"906",2,"4","2","2"
"907",1,"1","1","1"
"908",2,"1","5","2"
"909",1,"5","2","3"
"910",2,"1","1","2"
"911",2,"5","1","2"
"912",2,"1","2","1"
"913",2,"4","2","1"
"914",2,"1","2","2"
"915",2,"5","4","1"
"916",2,"1","1","1"
"917",2,"1","3","7"
"918",2,"5","1","3"
"919",2,"5","1","2"
"920",2,"4","2","2"
"921",2,"4","2","2"
"922",2,"1","1","2"
"923",2,"1","7","7"
"924",2,"5","1","2"
"925",1,"5","4","4"
"926",2,"1","2","3"
"927",2,"1","1","2"
"928",2,"1","5","6"
"929",2,"5","4","2"
"930",2,"6","1","3"
"931",2,"5","2","3"
"932",2,"5","5","3"
"933",1,"5","1","1"
"934",2,"6","2","2"
"935",1,"5","1","2"
"936",2,"1","2","2"
"937",2,"1","1","2"
"938",2,"2","2","4"
"939",2,"1","6","3"
"940",1,"5","1","1"
"941",2,"6","6","2"
"942",2,"2","5","3"
"943",2,"1","5","6"
"944",2,"1","5","6"
"945",1,"2","1","1"
"946",2,"1","1","1"
"947",2,"5","1","1"
"948",2,"5","4","2"
"949",2,"5","1","1"
"950",2,"1","1","2"
"951",2,"4","2","2"
"952",1,"6","1","4"
"953",2,"5","1","1"
"954",2,"1","1","2"
"955",2,"5","1","5"
"956",2,"1","4","7"
"957",2,"1","2","6"
"958",1,"4","1","2"
"959",1,"6","3","7"
"960",2,"1","3","3"
"961",1,"5","1","2"
"962",1,"5","3","5"
"963",2,"4","2","3"
"964",1,"3","3","4"
"965",1,"4","2","1"
"966",2,"1","1","2"
"967",1,"5","7","7"
"968",1,"4","2","6"
"969",1,"3","3","3"
"970",2,"4","2","7"
"971",2,"5","2","6"
"972",1,"6","2","4"
"973",1,"5","1","2"
"974",1,"5","2","7"
"975",1,"5","5","7"
"976",2,"3","1","3"
"977",1,"4","2","7"
"978",1,"1","2","2"
"979",1,"4","1","3"
"980",1,"4","1","2"
"981",1,"4","1","1"
"982",1,"3","1","1"
"983",1,"5","2","2"
"984",2,"4","3","5"
"985",1,"5","2","2"
"986",1,"6","",""
"987",2,"5","1","3"
"988",2,"4","2","3"
"989",1,"5","2","6"
"990",2,"4","1","2"
"991",1,"2","4","1"
"992",1,"4","1","1"
"993",1,"4","2","1"
"994",2,"5","3","6"
"995",1,"3","2","2"
"996",1,"1","2","2"
"997",1,"4","3","7"
"998",2,"4","5","3"
"999",2,"1","",""
"1000",2,"3","2","1"
"1001",2,"4","2","3"
"1002",2,"1","1","3"
"1003",1,"6","3","5"
"1004",2,"1","1","1"
"1005",2,"6","5","5"
"1006",2,"1","3","5"
"1007",2,"1","2","3"
"1008",2,"4","1","6"
"1009",2,"1","1","3"
"1010",2,"5","1","5"
"1011",2,"6","2","5"
"1012",2,"5","1","2"
"1013",2,"6","2","5"
"1014",2,"6","1","2"
"1015",2,"6","4","6"
"1016",2,"5","2","3"
"1017",2,"3","4","4"
"1018",2,"6","2","4"
"1019",2,"6","","4"
"1020",2,"6","3","3"
"1021",2,"5","1","3"
"1022",2,"6","1","3"
"1023",2,"5","1","3"
"1024",2,"6","1","7"
"1025",2,"5","2","3"
"1026",2,"5","1","4"
"1027",1,"5","3","3"
"1028",2,"4","3","5"
"1029",2,"5","2","6"
"1030",2,"5","2","2"
"1031",2,"4","2","5"
"1032",2,"5","2","6"
"1033",2,"1","2","2"
"1034",2,"1","1","1"
"1035",2,"5","2","5"
"1036",2,"5","2","2"
"1037",2,"4","2","5"
"1038",2,"1","1","2"
"1039",2,"5","6","2"
"1040",2,"1","1","2"
"1041",2,"6","1","3"
"1042",1,"5","3","6"
"1043",2,"1","1","1"
"1044",2,"1","1","1"
"1045",1,"6","4","7"
"1046",2,"1","2","2"
"1047",1,"5","4","5"
"1048",2,"5","5","6"
"1049",2,"5","1","2"
"1050",2,"1","1","3"
"1051",2,"5","3","2"
"1052",1,"6","2","5"
"1053",1,"6","1","6"
"1054",2,"4","2","2"
"1055",1,"6","2","4"
"1056",1,"1","2","6"
"1057",2,"4","2","2"
"1058",1,"6","3","1"
"1059",2,"5","2","2"
"1060",2,"4","1","2"
"1061",2,"1","1","1"
"1062",1,"4","1","1"
"1063",1,"5","2","2"
"1064",2,"5","2","5"
"1065",2,"5","2","5"
"1066",1,"4","1","3"
"1067",1,"5","1","2"
"1068",2,"6","1","2"
"1069",2,"6","2","2"
